"","V2","V7"
"1",100,"163.88"
"2",102,"196.65"
"3",103,"163.88"
"4",104,"131.1"
"5",120,"163.88"
"6",124,"131.1"
"7",126,"131.1"
"8",140,"163.88"
"9",142,"196.65"
"10",144,"196.65"
"11",145,"196.65"
"12",147,"196.65"
"13",148,"131.1"
"14",160,"163.88"
"15",162,"229.43"
"16",164,"131.1"
"17",170,"163.88"
"18",172,"196.65"
"19",174,"196.65"
"20",176,"229.43"
"21",190,"163.88"
"22",192,"229.43"
"23",210,"360.53"
"24",212,"163.88"
"25",214,"294.98"
"26",215,"294.98"
"27",216,"491.63"
"28",218,"426.08"
"29",220,"327.75"
"30",222,"196.65"
"31",300,"163.88"
"32",320,"196.65"
"33",322,"98.33"
"34",350,"327.75"
"35",352,"163.88"
"36",400,"98.33"
"37",402,"163.88"
"38",404,"163.88"
"39",406,"426.08"
"40",410,"131.1"
"41",420,"163.88"
"42",450,"163.88"
"43",452,"196.65"
"44",454,"98.33"
"45",470,"196.65"
"46",472,"327.75"
"47",474,"426.08"
"48",500,"491.63"
"49",520,"196.65"
"50",522,"131.1"
"51",524,"131.1"
"52",528,"262.2"
"53",530,"131.1"
"54",532,"131.1"
"55",534,"229.43"
"56",540,"426.08"
"57",542,"491.63"
"58",544,"491.63"
"59",546,"491.63"
"60",548,"491.63"
"61",560,"491.63"
"62",562,"655.5"
"63",580,"655.5"
"64",600,"327.75"
"65",604,"426.08"
"66",620,"327.75"
"67",622,"426.08"
"68",630,"262.2"
"69",632,"229.43"
"70",634,"327.75"
"71",670,"426.08"
"72",700,"98.33"
"73",702,"131.1"
"74",730,"163.88"
"75",740,"163.88"
"76",750,"131.1"
"77",752,"196.65"
"78",754,"229.43"
"79",756,"229.43"
"80",770,"491.63"
"81",790,"229.43"
"82",792,"426.08"
"83",794,"262.2"
"84",796,"983.25"
"85",800,"98.33"
"86",802,"163.88"
"87",810,"196.65"
"88",820,"163.88"
"89",830,"131.1"
"90",832,"196.65"
"91",840,"196.65"
"92",842,"131.1"
"93",844,"229.43"
"94",846,"262.2"
"95",848,"262.2"
"96",850,"229.43"
"97",855,"262.2"
"98",857,"229.43"
"99",860,"196.65"
"100",862,"229.43"
"101",864,"262.2"
"102",866,"327.75"
"103",868,"327.75"
"104",870,"163.88"
"105",872,"229.43"
"106",873,"163.88"
"107",880,"491.63"
"108",882,"327.75"
"109",884,"163.88"
"110",900,"98.33"
"111",902,"131.1"
"112",904,"229.43"
"113",906,"131.1"
"114",908,"196.65"
"115",910,"98.33"
"116",912,"163.88"
"117",914,"163.88"
"118",916,"163.88"
"119",918,"163.88"
"120",920,"98.33"
"121",922,"196.65"
"122",924,"131.1"
"123",926,"131.1"
"124",928,"196.65"
"125",930,"131.1"
"126",932,"131.1"
"127",934,"196.65"
"128",936,"262.2"
"129",938,"131.1"
"130",940,"98.33"
"131",942,"131.1"
"132",944,"196.65"
"133",946,"163.88"
"134",948,"131.1"
"135",950,"163.88"
"136",952,"131.1"
"137",955,"163.88"
"138",1000,"98.33"
"139",1110,"163.88"
"140",1120,"196.65"
"141",1130,"98.33"
"142",1140,"491.63"
"143",1150,"262.2"
"144",1160,"131.1"
"145",1170,"262.2"
"146",1180,"98.33"
"147",1190,"131.1"
"148",1200,"131.1"
"149",1202,"131.1"
"150",1210,"196.65"
"151",1212,"327.75"
"152",1214,"262.2"
"153",1220,"131.1"
"154",1230,"196.65"
"155",1232,"163.88"
"156",1234,"262.2"
"157",1240,"98.33"
"158",1250,"131.1"
"159",1260,"98.33"
"160",1270,"262.2"
"161",1272,"131.1"
"162",1274,"196.65"
"163",1300,"98.33"
"164",1320,"131.1"
"165",1340,"131.1"
"166",1360,"163.88"
"167",1380,"98.33"
"168",1382,"98.33"
"169",1390,"98.33"
"170",1392,"131.1"
"171",1400,"131.1"
"172",1402,"229.43"
"173",1404,"163.88"
"174",1420,"98.33"
"175",1430,"98.33"
"176",1432,"196.65"
"177",1440,"163.88"
"178",1442,"262.2"
"179",1444,"262.2"
"180",1460,"98.33"
"181",1462,"98.33"
"182",1464,"98.33"
"183",1470,"98.33"
"184",1472,"163.88"
"185",1474,"163.88"
"186",1480,"98.33"
"187",1482,"131.1"
"188",1484,"131.1"
"189",1486,"229.43"
"190",1490,"98.33"
"191",1500,"262.2"
"192",1502,"196.65"
"193",1520,"98.33"
"194",1522,"163.88"
"195",1600,"98.33"
"196",1610,"163.88"
"197",1620,"131.1"
"198",1622,"131.1"
"199",1630,"163.88"
"200",1632,"196.65"
"201",1634,"294.98"
"202",1636,"491.63"
"203",1638,"327.75"
"204",1650,"196.65"
"205",1652,"327.75"
"206",1654,"262.2"
"207",1656,"327.75"
"208",1670,"131.1"
"209",1680,"98.33"
"210",1682,"131.1"
"211",1700,"98.33"
"212",1710,"98.33"
"213",1712,"163.88"
"214",1714,"163.88"
"215",1716,"163.88"
"216",1730,"98.33"
"217",1732,"98.33"
"218",1740,"131.1"
"219",1742,"163.88"
"220",1744,"163.88"
"221",1756,"196.65"
"222",1758,"163.88"
"223",1760,"229.43"
"224",1770,"196.65"
"225",1772,"196.65"
"226",1780,"98.33"
"227",1782,"131.1"
"228",1784,"196.65"
"229",1800,"98.33"
"230",1810,"98.33"
"231",1820,"98.33"
"232",1830,"98.33"
"233",1832,"196.65"
"234",1840,"196.65"
"235",1842,"196.65"
"236",1844,"196.65"
"237",1850,"98.33"
"238",1852,"131.1"
"239",1860,"98.33"
"240",1900,"98.33"
"241",1902,"294.98"
"242",1904,"229.43"
"243",1906,"163.88"
"244",1908,"163.88"
"245",1910,"294.98"
