"code",2014,2015,2016,2017,2018,2019
"WC001",0,0,0,0,0,0
"WC002",11.91,12.01,12.14,12.29,12.46,12.65
"WC003",38.68,38.99,39.42,39.89,40.45,41.06
"WC004",38.68,38.99,39.42,39.89,40.45,41.06
"WC005",38.68,38.99,39.42,39.89,40.45,41.06
"WC006",38.68,38.99,39.42,39.89,40.45,41.06
"WC007",38.68,38.99,39.42,39.89,40.45,41.06
"WC008",10.26,10.34,10.45,10.58,10.73,10.89
"WC009",10.26,10.34,10.45,10.58,10.73,10.89
"WC010",5.13,5.17,5.23,5.29,5.36,5.44
"WC011",10.26,10.34,10.45,10.48,10.73,10.89
"WC012",0,0,0,0,0,0
